vp_count,fpAcc,c1AS,c1TP,c2AS,c2TP,c4AS,c4TP,c5AS,c5TP,c10AS,c10TP,c25AS,c25TP
1,0.4408182,872.4,0.438,71.425,0.205,8.17,0.144,10.796,0.219,4.456,0.39,1.506,0.838
10,0.8742273,871.836,0.891,122.649,0.749,8.795,0.81,4.508,0.869,1.125,0.992,1.0,1.0
3,0.66245455,872.495,0.673,92.826,0.435,9.755,0.415,7.951,0.55,2.197,0.839,1.01,0.997
100,0.99881816,873.14,0.999,144.645,0.998,9.236,0.996,3.146,0.999,1.029,1.0,1.0,1.0
20,0.95431817,873.589,0.95,137.639,0.915,6.434,0.928,4.178,0.962,1.052,0.997,1.0,1.0
75,0.99777275,874.035,0.998,148.208,0.993,7.629,0.998,2.683,0.998,1.024,1.0,1.0,1.0
2,0.5739545,873.565,0.588,83.965,0.326,8.594,0.315,9.28,0.404,3.187,0.665,1.045,0.979
5,0.7597727,873.589,0.753,107.206,0.573,9.92,0.622,6.344,0.663,1.623,0.931,1.004,1.0
40,0.98727274,873.218,0.98,151.333,0.981,7.613,0.982,2.651,0.987,1.013,0.998,1.0,1.0
50,0.9928182,873.6,0.994,149.187,0.992,9.033,0.994,4.086,0.997,1.014,1.0,1.0,1.0
30,0.97654545,874.102,0.984,137.014,0.958,9.241,0.966,3.133,0.979,1.081,1.0,1.0,1.0
